Abbr.,Scientific Name,English Name
HUM,Homo sapiens,human
HMO,Mus musculus,house mouse
NWR,Rattus norvegicus,Norway rat
CHM,Pan troglodytes,chimpanzee
RMN,Macaca mulatta,Rhesus monkey
DOG,Canis lupus familiaris,dog
CBD,Tursiops truncatus,common bottlenose dolphin
CAT,Bos taurus,cattle
PIG,Sus scrofa,pig
BFF,Pteropus alecto,black flying fox
CTS,Tupaia chinensis,Chinese tree shrew
DFT,Mustela putorius furo,domestic ferret
CHA,Cricetulus griseus,Chinese hamster
WYK,Bos mutus,wild yak
WMS,Callithrix jacchus,white-tufted-ear marmoset
HOR,Equus caballus,horse
GHM,Mesocricetus auratus,golden hamster
GBR,Nannospalax galili,Upper Galilee mountains blind mole rat
CBT,Trichosurus vulpecula,common brushtail
ADL,Dasypus novemcinctus,nine-banded armadillo
WEH,Erinaceus europaeus,western European hedgehog
SMH,Echinops telfairi,small Madagascar hedgehog
ERT,Rousettus aegyptiacus,Egyptian rousette
JFB,Artibeus jamaicensis,Jamaiacan fruit-eating bat
CVB,Desmodus rotundus,common vampire bat
TCC,Sapajus apella,tufted capuchin
SMB,Cercocebus atys,sooty mangabey
CEM,Macaca fascicularis,crab-eating macaque
PTM,Macaca nemestrina,pig-tailed macaque
OBB,Papio anubis,olive baboon
AIM,Ailuropoda melanoleuca,giant panda
FEC,Felis Catus,domestic cat
GOG,Gorilla gorilla,gorilla
MAL,Mandrillus leucophaeus,drill
PAP,Pan paniscus,pygmy chimpanzee
PAR,Panthera pardus, leopard
POA,Pongo abelii, sumatran orangutan
PUC,Puma concolor,puma
THG,Theropithecus gelada, gelada
VUV,Vulpes Vulpes,red fox